Date,Value,% change
2004.12.30,1000,
2004.12.31,1000,0
2005.01.04,1005.64,0.564000000000009
2005.01.05,1012.32,0.664253609641619
2005.01.06,1018.94,0.653943417101321
2005.01.10,1020.36,0.139360511904529
2005.01.11,1022.19,0.179348465247564
2005.01.12,1022.56,0.0361967931597818
2005.01.13,1026.18,0.354013456423097
2005.01.17,1045.11,1.8447056072034
2005.01.18,1056.82,1.12045621991943
2005.01.19,1060.26,0.325504816335798
2005.01.20,1063.71,0.325391885009352
2005.01.24,1058.65,-0.475693563095203
2005.01.25,1064.04,0.509138997780179
2005.01.26,1062.43,-0.151310101124014
2005.01.27,1072.77,0.973240589968283
2005.01.31,1075.77,0.279649878352295
2005.02.01,1071.99,-0.351376223542199
2005.02.02,1080.98,0.838627226000233
2005.02.03,1089.6,0.797424559196269
2005.02.04,1089.6,0
2005.02.07,1100.06,0.959985315712197
2005.02.08,1116.81,1.52264421940622
2005.02.09,1118.21,0.125357043722762
2005.02.10,1115.25,-0.264708775632483
2005.02.14,1120.84,0.501232907419857
2005.02.15,1121.88,0.0927875521930188
2005.02.16,1128.11,0.55531785930758
2005.02.17,1138.26,0.899734954924614
2005.02.18,1138.26,0
2005.02.21,1156.81,1.62968038936622
2005.02.22,1213.6,4.90918992747296
2005.02.23,1307.37,7.72659854976927
2005.02.24,1409.4,7.80421762775649
2005.02.28,1502.75,6.62338583794522
2005.03.01,1629.37,8.42588587589419
2005.03.02,1663.33,2.08424114841932
2005.03.03,1676.09,0.767135805883368
2005.03.04,1676.09,0
2005.03.07,1568.75,-6.40419070574969
2005.03.08,1491.58,-4.919203187251
2005.03.09,1474.37,-1.15381005376849
2005.03.10,1521.49,3.19594131730843
2005.03.14,1609.09,5.75751401586602
2005.03.15,1703.33,5.85672647272681
2005.03.16,1777.26,4.34032160532605
2005.03.17,1825.12,2.69290930983648
2005.03.21,1861.43,1.98945822740424
2005.03.22,1887.03,1.37528674191347
2005.03.23,1923.56,1.93584627695373
2005.03.24,1933.78,0.531306535798204
2005.03.25,1933.78,0
2005.03.28,2000.73,3.46213116280032
2005.03.29,2019.66,0.946154653551456
2005.03.30,2107.93,4.37053761524215
2005.03.31,2197.22,4.23590916206895
2005.04.04,2266.86,3.16945958984536
2005.04.05,2359.96,4.10700263801029
2005.04.06,2428.8,2.9169985931965
2005.04.07,2345.41,-3.43338274044797
2005.04.11,2184.05,-6.87982058573979
2005.04.12,2139.15,-2.05581374052792
2005.04.13,2202.39,2.95631442395343
2005.04.14,2209.52,0.323739210584861
2005.04.18,2164.25,-2.04886129114016
2005.04.19,2157.18,-0.326672057294686
2005.04.20,2092.34,-3.00577605948505
2005.04.21,2106.8,0.691092269898785
2005.04.25,2088.23,-0.881431554964884
2005.04.26,2081.01,-0.345747355415826
2005.04.27,2048.07,-1.58288523361253
2005.04.28,2026.35,-1.06051062707819
2005.05.04,2010.07,-0.803415007279096
2005.05.05,1997.53,-0.623858870586591
2005.05.09,1982.21,-0.766947179767008
2005.05.10,1962.03,-1.01805560460294
2005.05.11,1937.06,-1.27266147816293
2005.05.12,1916.28,-1.07275974931081
2005.05.16,1859.92,-2.9411150771286
2005.05.17,1876.51,0.891973848337568
2005.05.18,1871.73,-0.254728192229192
2005.05.19,1862.9,-0.471756075929752
2005.05.23,1861.42,-0.0794460250147622
2005.05.24,1902.45,2.20423117834772
2005.05.25,1933.2,1.61633682882598
2005.05.26,1904.07,-1.50682805710739
2005.05.27,1904.07,0
2005.05.30,1882.52,-1.13178612130856
2005.05.31,1851.08,-1.67010177846716
2005.06.01,1855.36,0.231216370983423
2005.06.02,1892.3,1.99098827181787
2005.06.03,1892.3,0
2005.06.06,1887.04,-0.277968609628498
2005.06.07,1900.11,0.692619128370353
2005.06.08,1902.13,0.10630963470537
2005.06.09,1900.98,-0.0604585385856948
2005.06.10,1900.98,0
2005.06.13,1897.7,-0.17254258329914
2005.06.14,1891.23,-0.340939031459131
2005.06.15,1884.96,-0.331530273948699
2005.06.16,1893.42,0.448815889992371
2005.06.20,1861.68,-1.67633171721013
2005.06.21,1836.58,-1.34824459627864
2005.06.22,1826.39,-0.554835618377625
2005.06.23,1816.89,-0.520151774812605
2005.06.24,1816.89,0
2005.06.27,1841.23,1.33965182261997
2005.06.28,1838.88,-0.127632072038797
2005.06.29,1835.13,-0.20392847820413
2005.06.30,1834.28,-0.0463182444840449
2005.07.01,1834.28,0
2005.07.04,1839.43,0.280764114529952
2005.07.05,1821.55,-0.972040251599682
2005.07.06,1800.82,-1.13804177760698
2005.07.07,1816.87,0.891260647927061
2005.07.08,1816.87,0
2005.07.11,1826.27,0.517373284824996
2005.07.12,1843.85,0.962617794740095
2005.07.13,1846.41,0.138839927325995
2005.07.14,1867.45,1.13950855985399
2005.07.18,1891.45,1.28517497121743
2005.07.19,1895.7,0.224695339554315
2005.07.20,1881.3,-0.759613862953001
