Year,Yearly_Change
2009,2.7380587932231526
2010,-17.18679593586936
2011,-13.342284941989968
2012,-12.339102518659628
2013,0.44362804561044467
2014,6.057992017758762
2015,-0.5932111484655
2016,16.45429453541776
2017,18.921172321081436
2018,36.63730965866574
2019,34.011236570453505
2020,1.203728201785892
2021,30.790142087420413
2022,-8.144172078238633
2023,8.207234892513426
2024,66.78427724268074
2025,-1.2418499918144699
