OBSV, type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller,MEDIAN_SQ,type_new,House_story,BIG_PROPERTY
5062,2-room,Sofia, city_Sofia,Zona_B_18,102700,102,1006.86,Brick,0,7,NO,1/7/2019,1/31/2019,Agency,"1,195.06",2,0,0
5063,2-room,Sofia, city_Sofia,Malynova_dolyna,75000,71,1056.33,Brick,0,1,NO,1/7/2019,1/31/2019,Agency,"1,195.06",2,0,0
5064,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,68993,70,985.61,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,130.17",2,0,0
5065,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,88830,79,1124.43,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,094.98",2,0,0
5066,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,83718,83,1008.65,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,000.00",2,0,0
5067,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,88830,79,1124.43,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,155.17",2,0,0
5068,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,83622,83,1007.49,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"2,232.14",2,0,0
5069,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,76581,81,945.44,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,183.52",2,0,0
5070,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,83853,81,1035.22,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,916.18,2,0,0
5071,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,69194,73,947.86,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,723.57,2,0,0
5072,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,94625,84,1126.48,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,470.00",2,0,0
5073,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,70925,75,945.66,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,470.00",2,0,0
5074,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,78470,83,945.42,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,000.00",2,0,0
5075,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,94625,84,1126.48,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,470.00",2,0,0
5076,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,81212,81,1002.61,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,510.66",2,0,0
5077,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,76230,81,941.11,Brick,0,2,NO,1/25/2019,1/31/2019,Agency,"1,065.21",2,0,0
5078,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,72688,81,897.38,Brick,0,5,NO,1/25/2019,1/31/2019,Agency,"1,163.79",2,0,0
5079,2-room,Sofia, city_Sofia,Zona_B_18,92200,102,903.92,Brick,0,2,NO,1/7/2019,1/31/2019,Agency,"1,065.21",2,0,0
5080,2-room,Sofia, city_Sofia,Obelya_1,54430,73,745.61,Brick,0,3,YES,1/25/2019,1/31/2019,Agency,"1,065.21",2,0,0
5081,2-room,Sofia, city_Sofia,Obelya_1,54950,74,742.56,Brick,0,5,YES,1/25/2019,1/31/2019,Agency,"1,000.00",2,0,0
5082,2-room,Sofia, city_Sofia,Obelya_1,61360,83,739.27,Brick,0,2,YES,1/25/2019,1/31/2019,Agency,"1,065.21",2,0,0
5083,2-room,Sofia, city_Sofia,Obelya_1,54430,73,745.61,Brick,0,5,YES,1/25/2019,1/31/2019,Agency,"1,163.79",2,0,0
5084,2-room,Sofia, city_Sofia,Obelya_1,58700,79,743.03,Brick,0,5,YES,1/25/2019,1/31/2019,Agency,"2,232.14",2,0,0
5085,2-room,Sofia, city_Sofia,Obelya_1,61321,83,738.8,Brick,0,1,YES,1/25/2019,1/31/2019,Agency,998.87,2,0,0
5086,2-room,Sofia, city_Sofia,Obelya_1,61360,83,739.27,Brick,0,4,YES,1/25/2019,1/31/2019,Agency,"1,195.06",2,0,0
5087,2-room,Sofia, city_Sofia,Obelya_1,61321,83,738.8,Brick,0,3,YES,1/25/2019,1/31/2019,Agency,"1,036.84",2,0,0
5088,2-room,Sofia, city_Sofia,Obelya_1,61321,83,738.8,Brick,0,2,YES,1/25/2019,1/31/2019,Agency,891.38,2,0,0
5089,2-room,Sofia, city_Sofia,Obelya_1,61321,83,738.8,Brick,0,4,YES,1/25/2019,1/31/2019,Agency,891.38,2,0,0
5090,2-room,Sofia, city_Sofia,Obelya_1,54430,73,745.61,Brick,0,1,YES,1/25/2019,1/31/2019,Agency,891.38,2,0,0
5091,2-room,Sofia, city_Sofia,Lozenets,133999,95,1410.51,Brick,2008,4,NO,1/4/2019,1/31/2019,Agency,891.38,2,0,0
5092,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,70600,78,905.12,Brick,0,2,NO,1/24/2019,1/31/2019,Agency,891.38,2,0,0
5093,2-room,Sofia, city_Sofia,Karpuzytsa,74000,75,986.66,Brick,2009,5,NO,1/30/2019,1/31/2019,Agency,891.38,2,0,0
5094,2-room,Sofia, city_Sofia,Mladost_4,66680,68,980.58,Brick,2019,1,NO,2/11/2019,2/28/2019,Agency,891.38,2,0,0
5095,2-room,Sofia, city_Sofia,Lozenets,155000,62,2500,Brick,0,5,YES,1/18/2019,1/31/2019,Agency,891.38,2,0,0
5096,2-room,Sofia, city_Sofia,Krasno_selo,81250,65,1250,Brick,0,8,YES,5/30/2019,5/31/2019,Agency,"1,221.76",2,0,0
5097,2-room,Sofia, city_Sofia,Vytosha,81000,82,987.8,Brick,2018,1,NO,1/11/2019,1/31/2019,Agency,916.18,2,0,0
5098,2-room,Sofia, city_Sofia,Lahera,87500,70,1250,Brick,0,4,YES,5/9/2019,5/31/2019,Agency,"1,183.52",2,0,0
5099,2-room,Sofia, city_Sofia,Lahera,81250,65,1250,Brick,0,8,YES,5/30/2019,5/31/2019,Agency,"1,470.00",2,0,0
5100,2-room,Sofia, city_Sofia,Mladost_4,115000,100,1150,Brick,2010,5,YES,1/11/2019,1/31/2019,Agency,"1,073.17",2,0,0
5101,2-room,Sofia, city_Sofia,Bkston,60770,67,907.01,Brick,0,3,NO,1/7/2019,1/31/2019,Agency,"1,183.52",2,0,0
5102,2-room,Sofia, city_Sofia,Symeonovo,81590,82,995,Brick,2018,2,NO,1/31/2019,1/31/2019,Agency,"1,183.52",2,0,0
5103,2-room,Sofia, city_Sofia,Boyana,68200,62,1100,Brick,2019,5,NO,1/16/2019,1/31/2019,Agency,"1,000.00",2,0,0
5104,2-room,Sofia, city_Sofia,Doktorsky_pametnyk,180000,70,2571.42,Brick,0,4,YES,1/4/2019,1/31/2019,Agency,891.38,2,0,0
5105,2-room,Sofia, city_Sofia,Krstova_vada,103000,74,1391.89,Brick,2019,2,NO,1/15/2019,1/31/2019,Agency,764.58,2,0,0
5106,2-room,Sofia, city_Sofia,Ovcha_kupel,52000,63,825.39,Brick,0,1,NO,1/21/2019,1/31/2019,Agency,764.58,2,0,0
5107,2-room,Sofia, city_Sofia,Lyulyn_2,94800,87,1089.65,Brick,2012,4,YES,1/3/2019,1/31/2019,Agency,"1,470.00",2,0,0
5108,2-room,Sofia, city_Sofia,Tsentr,75069,77,974.92,Brick,1930,2,NO,1/30/2019,1/31/2019,Agency,"1,183.52",2,0,0
5109,2-room,Sofia, city_Sofia,Tsentr,76328,78,978.56,Brick,1930,3,NO,1/30/2019,1/31/2019,Agency,815.67,2,0,0
5110,2-room,Sofia, city_Sofia,Druzhba_2,87500,85,1029.41,Brick,2019,5,NO,1/16/2019,1/31/2019,Agency,815.67,2,0,0
5111,2-room,Sofia, city_Sofia,Tsentr,137000,116,1181.03,Brick,0,5,NO,1/31/2019,1/31/2019,Agency,998.87,2,0,0
5112,2-room,Sofia, city_Sofia,Oboryshche,104236,69,1510.66,Brick,0,4,NO,2/15/2019,2/28/2019,Agency,"1,163.79",2,0,0
5113,2-room,Sofia, city_Sofia,Pavlovo,67188,69,973.73,Brick,2019,4,NO,1/23/2019,1/31/2019,Agency,"1,036.84",2,0,0
5114,2-room,Sofia, city_Sofia,Zona_B_5,79986,76,1052.44,Brick,2018,4,NO,1/3/2019,1/31/2019,Agency,"1,470.00",2,0,0
5115,2-room,Sofia, city_Sofia,Pavlovo,78786,73,1079.26,Brick,2019,1,NO,1/23/2019,1/31/2019,Agency,892.85,2,0,0
5116,2-room,Sofia, city_Sofia,Pavlovo,75900,77,985.71,Brick,2019,3,NO,1/23/2019,1/31/2019,Agency,"1,582.21",2,0,0
5117,2-room,Sofia, city_Sofia,Sukhata_reka,53900,56,962.5,EPK,1980,7,YES,1/31/2019,1/31/2019,Agency,"1,036.84",2,0,0
5118,2-room,Sofia, city_Sofia,Pavlovo,69000,65,1061.53,Brick,0,2,NO,1/21/2019,1/31/2019,Agency,"1,000.00",2,0,0
5119,2-room,Sofia, city_Sofia,Zona_B_5,93000,60,1550,EPK,0,8,YES,1/24/2019,1/31/2019,Agency,723.57,2,0,0
5120,2-room,Sofia, city_Sofia,Doktorsky_pametnyk,239500,68,3522.05,Brick,1932,1,YES,1/13/2019,1/31/2019,Agency,876.98,2,0,0
5121,2-room,Sofia, city_Sofia,Vytosha,83600,95,880,Brick,2018,5,NO,1/11/2019,1/31/2019,Agency,899.99,2,0,0
5122,2-room,Sofia, city_Sofia,Lahera,80600,71,1135.21,Brick,2018,4,YES,1/2/2019,1/31/2019,Agency,"1,000.00",2,0,0
5123,2-room,Sofia, city_Sofia,Studentsky_hrad,100000,83,1204.81,Brick,2010,4,NO,4/16/2019,4/30/2019,Agency,"1,000.00",2,0,0
5124,2-room,Sofia, city_Sofia,Nadezhda_2,64000,79,810.12,Brick,0,7,YES,1/16/2019,1/31/2019,Agency,"1,000.00",2,0,0
5125,2-room,Sofia, city_Sofia,Nadezhda_2,55000,71,774.64,Brick,0,7,YES,1/16/2019,1/31/2019,Agency,"1,000.00",2,0,0
5126,2-room,Sofia, city_Sofia,Nadezhda_2,59000,72,819.44,Brick,0,6,YES,1/16/2019,1/31/2019,Agency,"1,000.00",2,0,0
5127,2-room,Sofia, city_Sofia,Nadezhda_2,68000,80,850,Brick,0,6,YES,1/24/2019,1/31/2019,Agency,"1,000.00",2,0,0
5128,2-room,Sofia, city_Sofia,Nadezhda_2,55000,71,774.64,Brick,0,7,YES,1/11/2019,1/31/2019,Agency,"1,000.00",2,0,0
5129,2-room,Sofia, city_Sofia,Nadezhda_2,59000,72,819.44,Brick,0,6,YES,1/17/2019,1/31/2019,Agency,"1,000.00",2,0,0
5130,2-room,Sofia, city_Sofia,Nadezhda_2,64000,79,810.12,Brick,0,7,YES,1/17/2019,1/31/2019,Agency,"1,183.52",2,0,0
5131,2-room,Sofia, city_Sofia,Nadezhda_2,68000,80,850,Brick,0,6,YES,1/24/2019,1/31/2019,Agency,"2,232.14",2,0,0
5132,2-room,Sofia, city_Sofia,Mladost_1,59000,58,1017.24,Panel,1988,1,YES,1/28/2019,1/31/2019,Agency,"1,065.21",2,0,0
5133,2-room,Sofia, city_Sofia,Ovcha_kupel,76200,78,976.92,Brick,2015,4,NO,1/25/2019,1/31/2019,Agency,"1,036.84",2,0,0
5134,2-room,Sofia, city_Sofia,Krstova_vada,69900,65,1075.38,Brick,2019,1,NO,1/9/2019,1/31/2019,Agency,"1,130.17",2,0,0
5135,2-room,Sofia, city_Sofia,Tsentr,130000,80,1625,Brick,0,5,YES,2/16/2019,2/28/2019,Agency,"1,036.84",2,0,0
5136,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,94900,85,1116.47,Brick,2017,8,YES,5/29/2019,5/31/2019,Agency,"1,036.84",2,0,0
5137,2-room,Sofia, city_Sofia,Krstova_vada,88154,69,1277.59,Brick,2016,2,NO,1/22/2019,1/31/2019,Agency,"1,036.84",2,0,0
5138,2-room,Sofia, city_Sofia,Krstova_vada,88154,70,1259.34,Brick,2016,2,NO,1/22/2019,1/31/2019,Agency,998.87,2,0,0
5139,2-room,Sofia, city_Sofia,Druzhba_2,80471,75,1072.94,Brick,0,3,YES,1/25/2019,1/31/2019,Agency,900,2,0,0
5140,2-room,Sofia, city_Sofia,Nadezhda_2,58000,72,805.55,Brick,0,-1,YES,1/25/2019,1/31/2019,Agency,"1,073.17",2,0,0
5141,2-room,Sofia, city_Sofia,Obelya_1,71751,96,747.4,Brick,0,5,YES,1/25/2019,1/31/2019,Agency,"1,096.16",2,0,0
5142,2-room,Sofia, city_Sofia,Obelya_1,74225,100,742.25,Brick,0,6,YES,1/25/2019,1/31/2019,Agency,998.87,2,0,0
5143,2-room,Sofia, city_Sofia,Tsentr,68999,30,2299.96,Brick,0,5,YES,2/19/2019,2/28/2019,Agency,"1,183.52",2,0,0
5144,2-room,Sofia, city_Sofia,Krstova_vada,78800,58,1358.62,Brick,0,-1,NO,4/1/2019,4/30/2019,Agency,"1,065.21",2,0,0
5145,2-room,Sofia, city_Sofia,Krasna_polyana_3,60780,76,799.73,Brick,2019,2,YES,1/24/2019,1/31/2019,Agency,"1,155.17",2,0,0
5146,2-room,Sofia, city_Sofia,Krasna_polyana_3,61600,77,800,Brick,2019,2,YES,1/24/2019,1/31/2019,Agency,"1,470.00",2,0,0
5147,2-room,Sofia, city_Sofia,Vytosha,59900,57,1050.87,Brick,2018,1,NO,1/3/2019,1/31/2019,Agency,"1,073.17",2,0,0
5148,2-room,Sofia, city_Sofia,Zona_B_5,89890,101,890,Brick,0,1,NO,4/23/2019,4/30/2019,Agency,"1,183.52",2,0,0
5149,2-room,Sofia, city_Sofia,Studentsky_hrad,89400,94,951.06,Brick,2018,4,YES,1/15/2019,1/31/2019,Agency,"1,065.21",2,0,0
5150,2-room,Sofia, city_Sofia,Tsentr,145000,90,1611.11,Brick,2014,5,YES,1/21/2019,1/31/2019,Agency,"1,183.52",2,0,0
5151,2-room,Sofia, city_Sofia,Lyulyn_8,69000,68,1014.7,Brick,2018,2,YES,1/8/2019,1/31/2019,Agency,"1,183.52",2,0,0
5152,2-room,Sofia, city_Sofia,Lozenets,220000,89,2471.91,Brick,0,-1,NO,1/17/2019,1/31/2019,Agency,"1,073.17",2,0,0
5153,2-room,Sofia, city_Sofia,Studentsky_hrad,63990,54,1185,Brick,2017,4,NO,1/10/2019,1/31/2019,Agency,852.27,2,0,0
5154,2-room,Sofia, city_Sofia,Druzhba_1,49890,65,767.53,Panel,1979,5,YES,2/21/2019,2/28/2019,Agency,"1,073.17",2,0,0
5155,2-room,Sofia, city_Sofia,Lyulyn_2,59999,63,952.36,Brick,2010,6,NO,1/25/2019,1/31/2019,Agency,852.27,2,0,0
5156,2-room,Sofia, city_Sofia,Vrbnytsa_2,55700,68,819.11,Brick,2018,3,YES,1/30/2019,1/31/2019,Agency,852.27,2,0,0
5157,2-room,Sofia, city_Sofia,Ovcha_kupel_2,67000,62,1080.64,Brick,2009,7,NO,1/3/2019,1/31/2019,Agency,852.27,2,0,0
5158,2-room,Sofia, city_Sofia,Sukhata_reka,44000,56,785.71,Brick,2020,2,NO,1/14/2019,1/31/2019,Agency,852.27,2,0,0
5159,2-room,Sofia, city_Sofia,Sukhata_reka,53000,73,726.02,Brick,2020,2,NO,1/14/2019,1/31/2019,Agency,"1,073.17",2,0,0
5160,2-room,Sofia, city_Sofia,Sukhata_reka,58000,80,725,Brick,2020,2,NO,1/14/2019,1/31/2019,Agency,"1,073.17",2,0,0
5161,2-room,Sofia, city_Sofia,Sukhata_reka,45000,58,775.86,Brick,2020,3,NO,1/14/2019,1/31/2019,Agency,"1,204.54",2,0,0
5162,2-room,Sofia, city_Sofia,Sukhata_reka,53000,78,679.48,Brick,2020,3,NO,1/14/2019,1/31/2019,Agency,"1,073.17",2,0,0
5163,2-room,Sofia, city_Sofia,Sukhata_reka,48000,60,800,Brick,2020,5,NO,1/14/2019,1/31/2019,Agency,"1,172.87",2,0,0
5164,2-room,Sofia, city_Sofia,Sukhata_reka,60000,83,722.89,Brick,2020,7,NO,1/14/2019,1/31/2019,Agency,852.27,2,0,0
5165,2-room,Sofia, city_Sofia,Sukhata_reka,70000,113,619.46,Brick,2020,8,NO,1/14/2019,1/31/2019,Agency,852.27,2,0,0
5166,2-room,Sofia, city_Sofia,Krstova_vada,77000,67,1149.25,Brick,0,1,NO,1/7/2019,1/31/2019,Agency,"1,073.17",2,0,0
5167,2-room,Sofia, city_Sofia,Doktorsky_pametnyk,125000,56,2232.14,Brick,1936,2,YES,1/21/2019,1/31/2019,Agency,"1,073.17",2,0,0
5168,2-room,Sofia, city_Sofia,Pavlovo,58870,61,965.08,Brick,0,2,NO,1/28/2019,1/31/2019,Agency,852.27,2,0,0
5169,2-room,Sofia, city_Sofia,Studentsky_hrad,58439,62,942.56,Brick,0,2,YES,1/31/2019,1/31/2019,Agency,852.27,2,0,0
5170,2-room,Sofia, city_Sofia,Mladost_4,66680,68,980.58,Brick,0,1,NO,1/16/2019,1/31/2019,Agency,"1,073.17",2,0,0
5171,2-room,Sofia, city_Sofia,Studentsky_hrad,60734,63,964.03,Brick,0,5,YES,1/31/2019,1/31/2019,Agency,"1,208.33",2,0,0
5172,2-room,Sofia, city_Sofia,Studentsky_hrad,56544,62,912,Brick,0,1,YES,1/31/2019,1/31/2019,Agency,"1,073.17",2,0,0
5173,2-room,Sofia, city_Sofia,Studentsky_hrad,59689,62,962.72,Brick,0,3,YES,1/31/2019,1/31/2019,Agency,"1,105.68",2,0,0
5174,2-room,Sofia, city_Sofia,Vytosha,79575,66,1205.68,Brick,0,5,NO,1/31/2019,1/31/2019,Agency,"1,073.17",2,0,0
5175,2-room,Sofia, city_Sofia,Svoboda,42880,55,779.63,Brick,2018,1,NO,1/30/2019,1/31/2019,Agency,"1,073.17",2,0,0
5176,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,57579,56,1028.19,Brick,0,1,NO,1/30/2019,1/31/2019,Agency,"1,073.17",2,0,0
5177,2-room,Sofia, city_Sofia,Slatyna,83655,92,909.29,Brick,0,1,YES,2/28/2019,2/28/2019,Agency,"1,094.98",2,0,0
5178,2-room,Sofia, city_Sofia,Vytosha,56523,57,991.63,Brick,0,2,NO,2/28/2019,2/28/2019,Agency,"1,073.17",2,0,0
5179,2-room,Sofia, city_Sofia,Krstova_vada,75000,67,1119.4,Brick,0,1,NO,1/30/2019,1/31/2019,Agency,"1,470.00",2,0,0
5180,2-room,Sofia, city_Sofia,Pavlovo,77264,70,1103.77,Brick,0,2,NO,1/30/2019,1/31/2019,Agency,"1,470.00",2,0,0
5181,2-room,Sofia, city_Sofia,Boyana,72660,78,931.53,Brick,0,1,NO,1/30/2019,1/31/2019,Agency,"1,470.00",2,0,0
5182,2-room,Sofia, city_Sofia,Tsentr,104236,69,1510.66,Brick,0,4,YES,2/28/2019,2/28/2019,Agency,"1,470.00",2,0,0
5183,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,57579,56,1028.19,Brick,0,1,NO,1/30/2019,1/31/2019,Agency,916.18,2,0,0
5184,2-room,Sofia, city_Sofia,Krstova_vada,90056,61,1476.32,Brick,2018,5,NO,1/10/2019,1/31/2019,Agency,916.18,2,0,0
5185,2-room,Sofia, city_Sofia,Pavlovo,77369,70,1105.27,Brick,0,3,NO,1/30/2019,1/31/2019,Agency,"1,000.00",2,0,0
5186,2-room,Sofia, city_Sofia,Krstova_vada,84514,73,1157.72,Brick,0,5,NO,1/2/2019,1/31/2019,Agency,"1,073.17",2,0,0
5187,2-room,Sofia, city_Sofia,Krstova_vada,94824,105,903.08,Brick,0,6,NO,1/2/2019,1/31/2019,Agency,"1,916.66",2,0,0
5188,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,66456,66,1006.9,Brick,0,7,YES,1/27/2019,1/31/2019,Agency,916.18,2,0,0
5189,2-room,Sofia, city_Sofia,Lyulyn_6,51191,73,701.24,Brick,0,2,NO,1/30/2019,1/31/2019,Agency,"1,582.21",2,0,0
5190,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,75551,62,1218.56,Brick,0,10,YES,1/27/2019,1/31/2019,Agency,"1,065.21",2,0,0
5191,2-room,Sofia, city_Sofia,Lyulyn_6,49147,70,702.1,Brick,0,4,NO,1/30/2019,1/31/2019,Agency,"1,094.98",2,0,0
5192,2-room,Sofia, city_Sofia,Lyulyn_6,49147,70,702.1,Brick,0,2,NO,1/30/2019,1/31/2019,Agency,"1,183.52",2,0,0
5193,2-room,Sofia, city_Sofia,Lyulyn_6,51191,73,701.24,Brick,0,4,NO,1/30/2019,1/31/2019,Agency,886.11,2,0,0
5194,2-room,Sofia, city_Sofia,Lyulyn_6,49406,70,705.8,Brick,0,2,NO,1/30/2019,1/31/2019,Agency,916.18,2,0,0
5195,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,72436,72,1006.05,Brick,0,8,YES,1/27/2019,1/31/2019,Agency,916.18,2,0,0
5196,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,69779,66,1057.25,Brick,0,9,YES,1/27/2019,1/31/2019,Agency,"1,195.06",2,0,0
5197,2-room,Sofia, city_Sofia,Borovo,90000,70,1285.71,Brick,0,1,YES,1/30/2019,1/31/2019,Agency,"1,036.84",2,0,0
5198,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,66456,66,1006.9,Brick,0,5,YES,1/27/2019,1/31/2019,Agency,"2,232.14",2,0,0
5199,2-room,Sofia, city_Sofia,Reduta,92448,102,906.35,Brick,0,1,NO,1/30/2019,1/31/2019,Agency,855.55,2,0,0
5200,2-room,Sofia, city_Sofia,Lyulyn_6,49147,70,702.1,Brick,0,5,NO,1/30/2019,1/31/2019,Agency,998.87,2,0,0
5201,2-room,Sofia, city_Sofia,Lyulyn_6,49147,70,702.1,Brick,0,3,NO,1/30/2019,1/31/2019,Agency,"1,073.17",2,0,0
5202,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,78937,65,1214.41,Brick,0,8,YES,1/27/2019,1/31/2019,Agency,"1,582.21",2,0,0
5203,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,72436,72,1006.05,Brick,0,6,YES,1/27/2019,1/31/2019,Agency,"1,036.84",2,0,0
5204,2-room,Sofia, city_Sofia,Lyulyn_6,51191,73,701.24,Brick,0,3,NO,1/30/2019,1/31/2019,Agency,"1,155.17",2,0,0
5205,2-room,Sofia, city_Sofia,Lyulyn_6,54187,77,703.72,Brick,0,2,NO,1/30/2019,1/31/2019,Agency,998.87,2,0,0
5206,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,149000,85,1752.94,Brick,0,8,YES,1/30/2019,1/31/2019,Agency,998.87,2,0,0
5207,2-room,Sofia, city_Sofia,Krasno_selo,99761,86,1160.01,Brick,0,7,YES,1/30/2019,1/31/2019,Agency,928.57,2,0,0
5208,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,119000,90,1322.22,Brick,0,6,YES,1/30/2019,1/31/2019,Agency,900,2,0,0
5209,2-room,Sofia, city_Sofia,Drahalevtsy,50325,45,1118.33,Brick,0,2,NO,1/30/2019,1/31/2019,Agency,874.6,2,0,0
5210,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,119000,90,1322.22,Brick,0,7,YES,1/30/2019,1/31/2019,Agency,"1,208.33",2,0,0
5211,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,119000,90,1322.22,Brick,0,6,YES,1/30/2019,1/31/2019,Agency,"1,155.17",2,0,0
5212,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,119000,90,1322.22,Brick,0,7,YES,1/30/2019,1/31/2019,Agency,946.75,2,0,0
5213,2-room,Sofia, city_Sofia,Bkston,69959,142,492.66,Brick,0,1,NO,1/30/2019,1/31/2019,Agency,"1,036.84",2,0,0
5214,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,119000,90,1322.22,Brick,0,7,YES,1/30/2019,1/31/2019,Agency,"1,218.00",2,0,0
5215,2-room,Sofia, city_Sofia,Tsentr,85704,71,1207.09,Brick,0,6,YES,2/28/2019,2/28/2019,Agency,764.58,2,0,0
5216,2-room,Sofia, city_Sofia,Tsentr,98796,82,1204.82,Brick,0,2,YES,2/28/2019,2/28/2019,Agency,"1,065.21",2,0,0
5217,2-room,Sofia, city_Sofia,Tsentr,98196,81,1212.29,Brick,0,3,YES,2/28/2019,2/28/2019,Agency,"1,036.84",2,0,0
5218,2-room,Sofia, city_Sofia,Tsentr,74000,74,1000,Brick,0,4,YES,2/28/2019,2/28/2019,Agency,723.57,2,0,0
5219,2-room,Sofia, city_Sofia,Ovcha_kupel,70000,84,833.33,Brick,2016,3,NO,1/29/2019,1/31/2019,Agency,998.87,2,0,0
5220,2-room,Sofia, city_Sofia,Ovcha_kupel,75000,100,750,Brick,2017,5,NO,1/29/2019,1/31/2019,Agency,"1,470.00",2,0,0
5221,2-room,Sofia, city_Sofia,Banyshora,64900,64,1014.06,Panel,1984,9,YES,4/23/2019,4/30/2019,Private,"1,470.00",2,0,0
5222,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,65000,77,844.15,Brick,2017,1,NO,1/28/2019,1/31/2019,Agency,"1,208.21",2,0,0
5223,2-room,Sofia, city_Sofia,Yavorov,128300,61,2103.27,Brick,2018,2,NO,1/22/2019,1/31/2019,Agency,891.73,2,0,0
5224,2-room,Sofia, city_Sofia,Ovcha_kupel,82300,85,968.23,Brick,2019,1,NO,1/23/2019,1/31/2019,Agency,998.87,2,0,0
5225,2-room,Sofia, city_Sofia,Lozenets,135254,97,1394.37,Brick,2018,2,NO,1/31/2019,1/31/2019,Agency,"1,183.52",2,0,0
5226,2-room,Sofia, city_Sofia,Pavlovo,67925,62,1095.56,Brick,0,4,NO,1/28/2019,1/31/2019,Agency,"1,470.00",2,0,0
5227,2-room,Sofia, city_Sofia,Bkston,60920,64,951.87,Brick,0,3,NO,1/24/2019,1/31/2019,Agency,"1,470.00",2,0,0
5228,2-room,Sofia, city_Sofia,Krstova_vada,80087,67,1195.32,Brick,2019,5,NO,1/30/2019,1/31/2019,Agency,833.58,2,0,0
5229,2-room,Sofia, city_Sofia,Levsky_H,80850,110,735,Brick,2018,2,YES,1/31/2019,1/31/2019,Agency,"1,470.00",2,0,0
5230,2-room,Sofia, city_Sofia,Ovcha_kupel,103700,106,978.3,Brick,2019,5,NO,1/23/2019,1/31/2019,Agency,"1,183.52",2,0,0
5231,2-room,Sofia, city_Sofia,Ovcha_kupel,96500,98,984.69,Brick,2019,5,NO,1/23/2019,1/31/2019,Agency,"1,183.52",2,0,0
5232,2-room,Sofia, city_Sofia,Lahera,72880,63,1156.82,Brick,0,4,YES,1/30/2019,1/31/2019,Agency,"1,000.00",2,0,0
5233,2-room,Sofia, city_Sofia,Studentsky_hrad,68000,68,1000,Brick,2017,4,NO,1/28/2019,1/31/2019,Agency,"1,073.17",2,0,0
5234,2-room,Sofia, city_Sofia,Doktorsky_pametnyk,125000,56,2232.14,Brick,0,2,YES,1/16/2019,1/31/2019,Agency,"1,470.00",2,0,0
5235,2-room,Sofia, city_Sofia,Lyulyn_5,39900,44,906.81,Panel,1985,1,NO,1/25/2019,1/31/2019,Agency,"1,470.00",2,0,0
5236,2-room,Sofia, city_Sofia,Vytosha,64900,65,998.46,Brick,0,3,NO,1/16/2019,1/31/2019,Agency,"1,470.00",2,0,0
5237,2-room,Sofia, city_Sofia,Manastyrsky_lyvady,48500,45,1077.77,Brick,2018,6,NO,1/26/2019,1/31/2019,Agency,"1,470.00",2,0,0
5238,2-room,Sofia, city_Sofia,Lozenets,135254,97,1394.37,Brick,2018,2,NO,1/14/2019,1/31/2019,Agency,"1,073.17",2,0,0
