OBSV, type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller,MEDIAN_SQ,type_new,House_story,BIG_PROPERTY
36,1-room,Sofia, city_Sofia,Vrbnytsa_2,43000,49,877.55,Panel,1980,9,YES,11/30/2019,11/30/2019,Agency,876.98,1,0,0
37,1-room,Sofia, city_Sofia,Nadezhda_2,49990,47,1063.61,Panel,0,8,YES,6/18/2019,6/30/2019,Agency,891.38,1,0,0
38,1-room,Sofia, city_Sofia,Druzhba_2,49800,45,1106.66,Panel,0,4,YES,1/23/2019,1/31/2019,Agency,"1,000.00",1,0,0
39,1-room,Sofia, city_Sofia,Studentsky_hrad,45000,38,1184.21,Brick,2018,2,NO,1/2/2019,1/31/2019,Agency,"1,036.84",1,0,0
40,1-room,Sofia, city_Sofia,Manastyrsky_lyvady,59890,45,1330.88,Brick,2008,0,NO,1/3/2019,1/31/2019,Agency,"1,073.17",1,0,0
41,1-room,Sofia, city_Sofia,Studentsky_hrad,45000,39,1153.84,Brick,2018,5,NO,1/17/2019,1/31/2019,Agency,"1,036.84",1,0,0
42,1-room,Sofia, city_Sofia,Lyulyn_4,44000,54,814.81,EPK,1990,2,YES,1/19/2019,1/31/2019,Agency,926.47,1,0,0
43,1-room,Sofia, city_Sofia,Krstova_vada,58391,42,1390.26,Brick,2016,4,NO,1/16/2019,1/31/2019,Agency,"1,183.52",1,0,0
44,1-room,Sofia, city_Sofia,Krstova_vada,58390,41,1424.14,Brick,2017,3,NO,1/25/2019,1/31/2019,Agency,"1,183.52",1,0,0
45,1-room,Sofia, city_Sofia,Mladost_4,54000,47,1148.93,Panel,0,3,YES,9/2/2019,9/30/2019,Agency,"1,130.17",1,0,0
46,1-room,Sofia, city_Sofia,Druzhba_2,50000,47,1063.82,Panel,0,3,YES,1/23/2019,1/31/2019,Agency,"1,000.00",1,0,0
47,1-room,Sofia, city_Sofia,Ovcha_kupel,35000,50,700,Brick,2010,0,NO,1/28/2019,1/31/2019,Agency,916.18,1,0,0
48,1-room,Sofia, city_Sofia,Nadezhda_3,45990,44,1045.22,Panel,0,4,NO,3/29/2019,3/31/2019,Agency,952.87,1,0,0
49,1-room,Sofia, city_Sofia,Mladost_2,41990,38,1105,EPK,1987,8,NO,1/31/2019,1/31/2019,Agency,"1,264.12",1,0,0
50,1-room,Sofia, city_Sofia,Drvenytsa,57000,48,1187.5,Panel,1984,1,YES,5/19/2019,5/31/2019,Agency,"1,115.45",1,0,0
51,1-room,Sofia, city_Sofia,Svoboda,42000,46,913.04,Panel,0,3,NO,11/20/2019,11/30/2019,Agency,900,1,0,0
52,1-room,Sofia, city_Sofia,Studentsky_hrad,46750,49,954.08,Brick,2017,8,NO,1/10/2019,1/31/2019,Agency,"1,036.84",1,0,0
53,1-room,Sofia, city_Sofia,Sukhata_reka,45990,47,978.51,Panel,0,7,YES,1/9/2019,1/31/2019,Agency,"1,000.00",1,0,0
54,1-room,Sofia, city_Sofia,Druzhba_1,45000,46,978.26,Panel,0,3,YES,1/30/2019,1/31/2019,Agency,"1,000.00",1,0,0
55,1-room,Sofia, city_Sofia,Tsentr,200000,79,2531.64,Brick,0,7,YES,2/11/2019,2/28/2019,Agency,"1,470.00",1,0,0
56,1-room,Sofia, city_Sofia,Manastyrsky_lyvady,57000,57,1000,Brick,2009,4,NO,1/29/2019,1/31/2019,Agency,"1,073.17",1,0,0
57,1-room,Sofia, city_Sofia,Studentsky_hrad,55000,41,1341.46,Brick,2015,3,NO,1/19/2019,1/31/2019,Agency,"1,036.84",1,0,0
58,1-room,Sofia, city_Sofia,Vytosha,62777,65,965.8,Brick,2006,0,YES,1/14/2019,1/31/2019,Agency,998.87,1,0,0
59,1-room,Sofia, city_Sofia,Tsentr,45000,40,1125,EPK,0,5,YES,1/24/2019,1/31/2019,Agency,"1,470.00",1,0,0
60,1-room,Sofia, city_Sofia,Dyanabad,56000,66,848.48,Brick,2020,5,NO,1/29/2019,1/31/2019,Agency,"1,218.00",1,0,0
61,1-room,Sofia, city_Sofia,Boyana,107000,80,1337.5,Brick,0,2,NO,7/25/2019,7/31/2019,Agency,"1,155.17",1,0,0
62,1-room,Sofia, city_Sofia,Studentsky_hrad,35000,36,972.22,Brick,2016,3,NO,12/20/2019,12/31/2019,Agency,"1,036.84",1,0,0
63,1-room,Sofia, city_Sofia,Manastyrsky_lyvady,54900,62,885.48,Brick,2018,1,NO,1/7/2019,1/31/2019,Agency,"1,073.17",1,0,0
64,1-room,Sofia, city_Sofia,Lyulyn_8,17000,17,1000,Brick,2010,0,NO,1/29/2019,1/31/2019,Agency,892.85,1,0,0
65,1-room,Sofia, city_Sofia,Lyulyn_4,38400,46,834.78,Panel,0,7,YES,1/30/2019,1/31/2019,Agency,926.47,1,0,0
66,1-room,Sofia, city_Sofia,Studentsky_hrad,49000,41,1195.12,Brick,2014,3,NO,12/20/2019,12/31/2019,Agency,"1,036.84",1,0,0
67,1-room,Sofia, city_Sofia,Studentsky_hrad,45000,30,1500,Brick,2017,4,NO,12/20/2019,12/31/2019,Agency,"1,036.84",1,0,0
68,1-room,Sofia, city_Sofia,Slatyna,46500,47,989.36,Panel,1985,7,YES,5/17/2019,5/31/2019,Agency,"1,096.16",1,0,0
69,1-room,Sofia, city_Sofia,Borovo,51400,39,1317.94,Brick,2000,6,YES,1/11/2019,1/31/2019,Agency,"1,204.54",1,0,0
70,1-room,Sofia, city_Sofia,Krstova_vada,58391,42,1390.26,Brick,2017,4,NO,2/4/2019,2/28/2019,Agency,"1,183.52",1,0,0
71,1-room,Sofia, city_Sofia,Vytosha,46496,57,815.71,Brick,2018,3,NO,1/11/2019,1/31/2019,Agency,998.87,1,0,0
72,1-room,Sofia, city_Sofia,Studentsky_hrad,51000,44,1159.09,Brick,2016,2,NO,1/8/2019,1/31/2019,Agency,"1,036.84",1,0,0
73,1-room,Sofia, city_Sofia,Druzhba_1,66430,50,1328.6,EPK,0,8,NO,1/30/2019,1/31/2019,Agency,"1,000.00",1,0,0
74,1-room,Sofia, city_Sofia,Krstova_vada,58390,41,1424.14,Brick,2018,4,NO,2/26/2019,2/28/2019,Agency,"1,183.52",1,0,0
75,1-room,Sofia, city_Sofia,Studentsky_hrad,60300,67,900,Brick,2017,5,NO,1/11/2019,1/31/2019,Agency,"1,036.84",1,0,0
76,1-room,Sofia, city_Sofia,Poduyane,39000,50,780,Brick,2021,2,NO,7/30/2019,7/31/2019,Agency,"1,051.08",1,0,0
