 type, regiid, townid, quartid, price (Euro), area, euro/sq.m., constr., year, floor, TEC,published or renewed, valid_date, seller
 2-СТАЕН, София, гр. София, Свобода,45000,58,775.86, Панел,1970,3, НЕ, 2019-01-08, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Младост 1,65000,60,1083.33, Панел,1978,5, НЕ, 2019-01-14, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Надежда 2,75000,97,773.19, Тухла,2016,2, НЕ, 2019-01-03, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Лозенец,133300,63,2115.87, Тухла,2018,3, ДА, 2019-01-16, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,53000,63,841.26, Тухла,2010,3, НЕ, 2019-04-25, 2019-04-30, Агенция
 2-СТАЕН, София, гр. София, Овча купел,52200,60,870, Тухла,2018,3, НЕ, 2019-02-21, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Студентски град,96000,80,1200, Тухла,2014,5, ДА, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Левски В,41990,61,688.36, Тухла,0,2, НЕ, 2019-01-17, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 5,39990,46,869.34, Панел,1981,1, ДА, 2019-02-26, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Център,100000,60,1666.66, Тухла,1950,3, ДА, 2019-01-10, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 8,99858,117,853.48, Тухла,2017,7, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,98000,90,1088.88, Тухла,2017,8, ДА, 2019-01-02, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,83238,101,824.13, Тухла,0,3, НЕ, 2019-01-10, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 5,39990,45,888.66, Панел,1980,1, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Хаджи Димитър,67000,65,1030.76, Панел,0,7, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,108246,76,1424.28, Тухла,0,4, ДА, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Малинова долина,53000,69,768.11, Тухла,0,1, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,89390,72,1241.52, Тухла,0,1, ДА, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,103577,83,1247.91, Тухла,0,7, ДА, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,62999,67,940.28, Тухла,2015,2, НЕ, 2019-01-12, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,59689,63,947.44, Тухла,2018,3, НЕ, 2019-01-18, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,56544,62,912, Тухла,2018,1, НЕ, 2019-01-03, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,58410,63,927.14, Тухла,2018,5, НЕ, 2019-01-03, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,46013,47,979, Тухла,2018,4, НЕ, 2019-01-04, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,39000,52,750, Тухла,2018,0, НЕ, 2019-01-08, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Младост 1,67600,60,1126.66, Панел,1975,5, ДА, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Кръстова вада,92000,77,1194.8, Тухла,2019,3, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,200000,84,2380.95, Тухла,2018,2, НЕ, 2019-03-19, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 2,61890,70,884.14, Тухла,2019,2, ДА, 2019-01-08, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 2,62885,71,885.7, Тухла,0,3, ДА, 2019-01-08, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,125000,75,1666.66, Тухла,1965,4, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 8,53290,73,730, Тухла,0,3, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Света Троица,70000,74,945.94, ЕПК,0,1, ДА, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 8,48870,55,888.54, Тухла,0,7, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,69999,75,933.32, Тухла,2017,5, НЕ, 2019-01-12, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,182000,73,2493.15, Тухла,1965,5, ДА, 2019-01-22, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дружба 1,44000,42,1047.61, ЕПК,1985,10, ДА, 2019-01-22, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,64000,66,969.69, Тухла,2018,4, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Изток,102980,60,1716.33, Тухла,0,5, ДА, 2019-03-13, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Център,109000,70,1557.14, Тухла,2018,4, ДА, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,77800,82,948.78, Тухла,2018,4, ДА, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,77827,81,960.82, Тухла,2018,4, ДА, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Зона Б-18,106000,106,1000, Тухла,0,3, НЕ, 2019-03-19, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Гоце Делчев,83800,77,1088.31, Тухла,2018,3, НЕ, 2019-01-10, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 6,55000,50,1100, Панел,1984,6, ДА, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Лозенец,138000,65,2123.07, Тухла,2017,4, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,74490,68,1095.44, Тухла,2018,3, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Кръстова вада,81000,81,1000, Тухла,0,2, НЕ, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,85000,83,1024.09, Тухла,0,2, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,45900,64,717.18, Тухла,0,1, НЕ, 2019-01-10, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Оборище,60000,60,1000, Тухла,0,4, НЕ, 2019-01-10, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,104000,69,1507.24, Тухла,2012,2, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,71950,70,1027.85, Тухла,2018,2, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Банишора,73000,70,1042.85, ЕПК,1977,9, ДА, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,56400,62,909.67, Тухла,2018,2, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,70900,78,908.97, Тухла,2018,3, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Младост 4,85900,57,1507.01, Тухла,0,5, ДА, 2019-01-21, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Левски,64500,72,895.83, Тухла,0,6, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Левски В,64500,72,895.83, Тухла,0,6, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Малинова долина,75000,72,1041.66, Тухла,2018,1, ДА, 2019-01-14, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Павлово,87000,74,1175.67, Тухла,1999,2, НЕ, 2019-01-14, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Павлово,58990,68,867.5, Тухла,2018,2, НЕ, 2019-01-21, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,40000,62,645.16, Тухла,2019,6, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,42390,47,901.91, Тухла,0,3, НЕ, 2019-01-08, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,55472,69,803.94, Тухла,2019,2, НЕ, 2019-01-08, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Павлово,58990,68,867.5, Тухла,2018,5, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Младост 3,68500,65,1053.84, ЕПК,1996,15, ДА, 2019-01-15, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,75689,86,880.1, Тухла,0,2, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Симеоново,65815,74,889.39, Тухла,0,4, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,65815,74,889.39, Тухла,0,3, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,66510,75,886.8, Тухла,0,2, НЕ, 2019-01-08, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,75689,86,880.1, Тухла,0,3, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,65815,74,889.39, Тухла,0,2, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,67683,82,825.4, Тухла,0,5, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,83424,104,802.15, Тухла,0,5, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,111831,183,611.09, Тухла,0,6, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Красно село,83500,67,1246.26, Тухла,2019,2, ДА, 2019-01-13, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Белите брези,83500,67,1246.26, Тухла,2019,2, ДА, 2019-01-14, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Симеоново,73600,70,1051.42, Тухла,2018,1, НЕ, 2019-01-14, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,68780,73,942.19, Тухла,2018,2, НЕ, 2019-01-02, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,56544,62,912, Тухла,2018,5, НЕ, 2019-01-18, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,93545,102,917.1, Тухла,0,1, ДА, 2019-04-05, 2019-04-30, Агенция
 2-СТАЕН, София, гр. София, Дианабад,89405,93,961.34, Тухла,0,5, ДА, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,87715,91,963.9, Тухла,0,2, ДА, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,79000,97,814.43, Тухла,0,1, ДА, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,104900,78,1344.87, Тухла,2002,3, НЕ, 2019-01-15, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Лозенец,134000,95,1410.52, Тухла,0,4, НЕ, 2019-02-06, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Люлин - център,55826,73,764.73, Тухла,0,1, ДА, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Обеля 1,59500,66,901.51, Панел,1990,2, НЕ, 2019-03-29, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,48800,45,1084.44, Тухла,0,6, НЕ, 2019-01-16, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,48800,45,1084.44, Тухла,0,6, НЕ, 2019-01-11, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,75689,86,880.1, Тухла,0,4, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Бояна,200000,97,2061.85, Тухла,0,5, НЕ, 2019-03-31, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, ж.гр.Южен парк,138900,100,1389, Тухла,1998,4, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Връбница 1,59750,66,905.3, Тухла,2018,4, НЕ, 2019-01-03, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Надежда 2,74000,70,1057.14, Панел,1986,2, ДА, 2019-02-12, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Павлово,110000,95,1157.89, Тухла,2013,4, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Докторски паметник,125000,56,2232.14, Тухла,0,2, ДА, 2019-01-08, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Подуяне,54839,52,1054.59, Тухла,0,5, ДА, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Подуяне,55950,64,874.21, Тухла,0,2, ДА, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Подуяне,84261,73,1154.26, Тухла,0,6, ДА, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Гоце Делчев,65300,60,1088.33, Тухла,0,4, НЕ, 2019-01-23, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,85965,69,1245.86, Тухла,2019,2, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел 2,51999,75,693.32, Тухла,2012,3, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Илинден,61990,60,1033.16, Тухла,1960,1, ДА, 2019-01-29, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,66640,68,980, Тухла,2018,3, НЕ, 2019-01-29, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Карпузица,109450,118,927.54, Тухла,0,5, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Карпузица,74160,74,1002.16, Тухла,0,5, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,94000,79,1189.87, Тухла,2018,3, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Яворов,128200,61,2101.63, Тухла,0,2, ДА, 2019-01-18, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Яворов,131450,61,2154.91, Тухла,0,3, ДА, 2019-01-18, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,131450,61,2154.91, Тухла,0,3, ДА, 2019-01-18, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Кръстова вада,75000,75,1000, Тухла,0,2, НЕ, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Център,128200,61,2101.63, Тухла,0,2, ДА, 2019-01-18, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,88600,81,1093.82, Тухла,2018,2, НЕ, 2019-03-05, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Модерно предградие,60000,54,1111.11, Тухла,2011,2, НЕ, 2019-01-03, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 4,63900,72,887.5, Панел,0,8, НЕ, 2019-01-21, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,83839,91,921.3, Тухла,0,1, ДА, 2019-04-05, 2019-04-30, Агенция
 2-СТАЕН, София, гр. София, Дианабад,77827,81,960.82, Тухла,0,4, ДА, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,60810,68,894.26, Тухла,2019,1, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,113800,158,720.25, Тухла,0,8, ДА, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,78096,81,964.14, Тухла,0,5, ДА, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,85747,91,942.27, Тухла,0,7, ДА, 2019-04-05, 2019-04-30, Агенция
 2-СТАЕН, София, гр. София, Дианабад,79373,83,956.3, Тухла,0,7, ДА, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,100577,131,767.76, Тухла,0,7, ДА, 2019-04-05, 2019-04-30, Агенция
 2-СТАЕН, София, гр. София, Дианабад,123200,169,728.99, Тухла,0,8, ДА, 2019-04-05, 2019-04-30, Агенция
 2-СТАЕН, София, гр. София, Люлин 1,59990,70,857, Панел,0,5, ДА, 2019-01-21, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Младост 4,87644,71,1234.42, Тухла,0,5, ДА, 2019-03-25, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Младост 4,82982,73,1136.73, Тухла,0,7, ДА, 2019-03-25, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Младост 4,84731,75,1129.74, Тухла,0,7, ДА, 2019-03-25, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Младост 4,87644,71,1234.42, Тухла,0,5, ДА, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Изток,99999,103,970.86, Тухла,2007,1, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,85800,98,875.51, Тухла,0,1, ДА, 2019-04-05, 2019-04-30, Агенция
 2-СТАЕН, София, гр. София, Бояна,63280,65,973.53, Тухла,2018,4, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Бояна,115200,100,1152, Тухла,0,0, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,64000,100,640, Тухла,2011,6, НЕ, 2019-02-10, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Център,74400,62,1200, Тухла,0,5, НЕ, 2019-01-15, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,62999,70,899.98, Тухла,0,6, НЕ, 2019-01-06, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Младост 1,63700,51,1249.01, Тухла,2008,0, НЕ, 2019-07-26, 2019-07-31, Агенция
 2-СТАЕН, София, гр. София, Младост 1,87500,70,1250, Тухла,2008,0, НЕ, 2019-07-26, 2019-07-31, Агенция
 2-СТАЕН, София, гр. София, Оборище,104250,70,1489.28, Тухла,2019,4, ДА, 2019-01-16, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Симеоново,84500,60,1408.33, Тухла,2019,2, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,85000,85,1000, Тухла,2018,2, ДА, 2019-01-15, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,77300,79,978.48, Тухла,2019,5, НЕ, 2019-02-27, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,75300,76,990.78, Тухла,2019,6, НЕ, 2019-02-27, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Кръстова вада,93000,90,1033.33, Тухла,0,1, НЕ, 2019-07-10, 2019-07-31, Агенция
 2-СТАЕН, София, гр. София, Център,145000,95,1526.31, Тухла,0,3, ДА, 2019-01-27, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Банишора,62000,67,925.37, Тухла,2018,7, ДА, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Левски В,76000,77,987.01, Панел,2000,1, ДА, 2019-01-17, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Кръстова вада,97500,96,1015.62, Тухла,2018,3, НЕ, 2019-01-22, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Витоша,64900,66,983.33, Тухла,0,3, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,64900,66,983.33, Тухла,0,3, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Надежда 2,44390,49,905.91, Тухла,2020,3, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Младост 4,94000,73,1287.67, Тухла,2018,2, ДА, 2019-02-06, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Дървеница,85500,60,1425, Панел,1981,8, ДА, 2019-02-19, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Лозенец,65000,49,1326.53, Тухла,0,0, НЕ, 2019-01-14, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,52900,76,696.05, ЕПК,2016,3, НЕ, 2019-01-17, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 8,54137,76,712.32, Тухла,2019,6, НЕ, 2019-01-23, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Банишора,43160,52,830, Тухла,0,-1, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 2,72604,104,698.11, Тухла,0,11, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 2,65331,93,702.48, Тухла,0,7, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 2,60886,87,699.83, Тухла,0,9, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 2,65891,94,700.96, Тухла,0,9, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Слатина,79365,66,1202.5, Тухла,0,5, ДА, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Студентски град,56100,66,850, Тухла,2019,4, НЕ, 2019-01-24, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,126910,98,1295, Тухла,2018,7, НЕ, 2019-02-21, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,74980,71,1056.05, Тухла,2018,7, НЕ, 2019-02-26, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Люлин 8,37661,54,697.42, Тухла,2020,0, НЕ, 2019-01-23, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Люлин 8,54879,75,731.72, Тухла,2020,2, НЕ, 2019-01-23, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Малинова долина,53450,59,905.93, Тухла,2020,4, НЕ, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,63866,58,1101.13, Тухла,0,5, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,80322,73,1100.3, Тухла,0,4, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,80784,73,1106.63, Тухла,0,3, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,54253,53,1023.64, Тухла,0,1, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,63772,59,1080.88, Тухла,0,2, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,59930,56,1070.17, Тухла,0,2, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,77746,72,1079.8, Тухла,0,2, НЕ, 2019-01-30, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Гоце Делчев,62000,47,1319.14, ЕПК,0,14, ДА, 2019-01-07, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Свобода,50090,58,863.62, Тухла,0,1, НЕ, 2019-02-07, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Левски Г,65650,68,965.44, Тухла,2018,7, НЕ, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,58261,71,820.57, Тухла,2019,0, НЕ, 2019-06-28, 2019-06-30, Агенция
 2-СТАЕН, София, гр. София, Горна баня,102500,98,1045.91, Тухла,0,2, НЕ, 2019-02-14, 2019-02-28, Агенция
 2-СТАЕН, София, гр. София, Витоша,81000,73,1109.58, Тухла,2018,5, НЕ, 2019-01-06, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Кръстова вада,138000,157,878.98, Тухла,2013,5, НЕ, 2019-01-15, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Лагера,89000,60,1483.33, Тухла,0,6, ДА, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дианабад,77827,77,1010.74, Тухла,2019,4, ДА, 2019-01-10, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Павлово,69200,62,1116.12, Тухла,2018,3, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,134500,87,1545.97, Тухла,2017,6, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Павлово,68750,62,1108.87, Тухла,2018,4, НЕ, 2019-01-09, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Зона Б-5,110000,80,1375, Тухла,1965,0, ДА, 2019-01-14, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Кръстова вада,77899,76,1024.98, Тухла,2019,2, НЕ, 2019-01-23, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Кръстова вада,83401,75,1112.01, Тухла,2019,3, НЕ, 2019-01-23, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Овча купел,57000,65,876.92, Тухла,2019,0, НЕ, 2019-01-18, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Дървеница,68000,48,1416.66, Панел,1983,5, ДА, 2019-03-26, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Редута,90000,110,818.18, Тухла,2010,4, НЕ, 2019-05-22, 2019-05-31, Агенция
 2-СТАЕН, София, гр. София, Левски Г,64500,73,883.56, Тухла,2018,6, ДА, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Лагера,85000,60,1416.66, Тухла,2004,7, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Манастирски ливади,120000,123,975.6, Тухла,2007,3, НЕ, 2019-01-05, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Яворов,134900,78,1729.48, Тухла,1942,3, ДА, 2019-03-29, 2019-03-31, Агенция
 2-СТАЕН, София, гр. София, Надежда 2,110000,98,1122.44, Тухла,1992,4, ДА, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, в.з.Малинова долина,58520,67,873.43, Тухла,2018,-1, НЕ, 2019-02-21, 2019-02-28, Ч.Л.
 2-СТАЕН, София, гр. София, Манастирски ливади,53000,53,1000, Тухла,2019,0, НЕ, 2019-01-28, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Сухата река,97000,63,1539.68, ЕПК,0,4, НЕ, 2019-01-29, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Яворов,66500,48,1385.41, Тухла,0,5, ДА, 2019-01-31, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Малинова долина,39000,52,750, Тухла,0,0, НЕ, 2019-01-25, 2019-01-31, Агенция
 2-СТАЕН, София, гр. София, Сухата река,97000,61,1590.16, ЕПК,1997,4, ДА, 2019-01-08, 2019-01-31, Агенция
