"group","horizon","beta_slack","se_slack","beta_exp","se_exp","pval_diff","fs_f_stat","n","ci90_lo_slack","ci90_hi_slack","ci90_lo_exp","ci90_hi_exp","ci68_lo_slack","ci68_hi_slack","ci68_lo_exp","ci68_hi_exp"
"Panel",0,0.25877689400859,0.261552609765546,0.037390578084639,0.107431718930617,0.525495726742188,19945065342551803926493816061689856,706,-0.171477149055733,0.689030937072912,-0.139334599556226,0.214115755725504,-0.00277571575695618,0.520329503774135,-0.0700411408459779,0.144822297015256
"Panel",1,0.677056421969445,0.781868624568815,0.242417345607303,0.806408139217553,0.748425636284622,27.6313176985665,698,-0.609117465446255,1.96323030938515,-1.08412404340557,1.56895873462018,-0.104812202599369,1.45892504653826,-0.56399079361025,1.04882548482486
"Panel",2,0.917218936700765,0.669087269982422,0.64131802241788,0.311862544597803,0.613879373302485,25.5557689697397,690,-0.183429622420319,2.01786749582185,0.128304136554494,1.15433190828127,0.248131666718343,1.58630620668319,0.329455477820077,0.953180567015683
"Panel",3,1.31745151722523,0.922315237739868,0.831973280471695,0.788272737949222,0.21388384628389,27.7735231328019,682,-0.199757048856849,2.83466008330732,-0.464735373454775,2.12868193439816,0.395136279485366,2.2397667549651,0.0437005425224731,1.62024601842092
"Panel",4,1.57345205190591,0.688665962434826,2.47237872994232,0.851539777006584,0.305718561696171,21.3455886370518,674,0.440596543700623,2.7063075601112,1.07159579676649,3.87316166311815,0.884786089471086,2.26211801434074,1.62083895293573,3.3239185069489
"Panel",5,0.725370116806724,0.867674359177172,0.755187299275554,0.499352033105319,0.960814170159276,31.200747725086,666,-0.701954204039724,2.15269443765317,-0.0662467951826948,1.5766213937338,-0.142304242370448,1.5930444759839,0.255835266170236,1.25453933238087
"Panel",6,1.00898073174722,1.12734418578807,0.864024638865159,0.840770381118003,0.821209355591399,19.4438856909065,658,-0.845500453874147,2.86346191736859,-0.519042638073956,2.24709191580427,-0.118363454040844,2.13632491753529,0.0232542577471558,1.70479501998316
"Panel",7,0.826518975913656,0.786428364896946,1.12478502773735,0.618053948115588,0.555235751896549,37.5797588986269,650,-0.467155684341821,2.12019363616913,0.10808628308721,2.1414837723875,0.0400906110167091,1.6129473408106,0.506731079621765,1.74283897585294
"Panel",8,1.40549520820932,1.19970940753305,1.02599078572716,0.938031976099911,0.472272990144342,22.7827669251497,642,-0.56802676718255,3.37901718360118,-0.517071814957194,2.56905338641151,0.205785800676267,2.60520461574237,0.0879588096272488,1.96402276182707
"Panel",9,1.11701792258941,1.68655665110454,0.935423225761256,1.12685412226645,0.798991159137194,18.6106486400287,634,-1.65736776847756,3.89140361365638,-0.918251805367048,2.78909825688956,-0.569538728515132,2.80357457369395,-0.191430896505191,2.0622773480277
"Panel",10,0.711978303034037,1.30187654566872,0.697738917783535,1.07584292915431,0.982503605221337,26.3489043910097,626,-1.429608614591,2.85356522065908,-1.0720227006753,2.46750053624237,-0.589898242634681,2.01385484870275,-0.378104011370772,1.77358184693784
"Panel",11,1.1038663070784,1.37849036933198,0.977219659695686,1.24380386356608,0.845940821429107,24.5710540299985,618,-1.1637503504727,3.37148296462951,-1.06883769587052,3.02327701526189,-0.274624062253573,2.48235667641038,-0.266584203870395,2.22102352326177
"Panel",12,1.18984082003641,1.04077661031682,1.29587324445695,0.905648202399752,0.794134981154573,27.476278266467,610,-0.52223670393476,2.90191834400758,-0.193918048490644,2.78566453740454,0.14906420971959,2.23061743035323,0.390225042057196,2.2015214468567
"BG",0,-0.129226699233279,0.372672732247265,0.514056659365733,0.814644310215223,0.424442891446814,8176210948554521140635105113407488,104,-0.742273343780031,0.483819945313472,-0.826033230938308,1.85414654966977,-0.501899431480545,0.243446033013986,-0.30058765084949,1.32870096958096
"BG",1,-0.00886735036905472,0.543777740661615,-0.512192486273472,1.92541501685542,0.774955551556587,17.9340070841088,103,-0.903381733757411,0.885647033019302,-3.67950018900064,2.6551152164537,-0.55264509103067,0.53491039029256,-2.43760750312889,1.41322253058195
"BG",2,0.127731307366548,0.651062892934876,-0.238605418821007,1.82447710005119,0.81998724317236,15.2600044936715,102,-0.943267151511323,1.19872976624442,-3.23987024840522,2.76265941076321,-0.523331585568328,0.778794200301424,-2.0630825188722,1.58587168123019
"BG",3,0.674474651675941,0.861088433718911,1.15751586768313,2.06749734557076,0.782338820219794,11.722749517687,101,-0.742015821791667,2.09096512514355,-2.24351726578078,4.55854900114703,-0.18661378204297,1.53556308539485,-0.909981477887637,3.22501321325389
"BG",4,1.08413043093288,1.28703908945673,1.00621577767396,1.68681320219596,0.95900032252346,3.97507071117052,100,-1.03304887122344,3.20130973308921,-1.76859193993839,3.78102349528632,-0.202908658523848,2.37116952038961,-0.680597424521997,2.69302897986992
"BG",5,1.41720489731227,1.14071415547388,0.968573270074701,1.51503068184023,0.743321732268169,4.46132177803774,99,-0.459269888442258,3.29367968306679,-1.52365220155248,3.46079874170188,0.276490741838392,2.55791905278614,-0.546457411765529,2.48360395191493
"BG",6,1.56084542434514,1.14268802441072,1.22656732894912,1.44172081382065,0.801148224437487,3.65671606245836,98,-0.3188763758105,3.44056722450078,-1.14506340978585,3.59819806768409,0.418157399934417,2.70353344875587,-0.215153484871533,2.66828814276977
"BG",7,1.79958467948538,0.977841577509893,1.58657180623031,1.06650339502404,0.84490756377445,3.54873219196685,97,0.191035284481603,3.40813407448915,-0.167826278584246,3.34096989104486,0.821743101975483,2.77742625699527,0.520068411206262,2.65307520125435
"BG",8,2.7839979047176,1.26564442555797,1.64149224203737,1.20765238891328,0.405963295791727,2.25419035292272,96,0.702012824674744,4.86598298476046,-0.34509593772497,3.62808042179971,1.51835347915963,4.04964233027557,0.433839853124093,2.84914463095065
"BG",9,2.53590911263196,1.21320801940291,1.45733199948095,1.14087304504474,0.402820129337385,2.88679305717076,95,0.540181920714183,4.53163630454975,-0.419404159617647,3.33406815857956,1.32270109322906,3.74911713203487,0.316458954436212,2.5982050445257
"BG",10,3.36647497326527,1.34208238618995,1.93614048184061,1.16954228682632,0.275994523444838,2.19709438979562,94,1.1587494479828,5.57420049854774,0.0122434200113133,3.8600375436699,2.02439258707532,4.70855735945522,0.766598195014289,3.10568276866693
"BG",11,3.00285157969955,1.29150859617041,1.99638109105568,1.27193487178523,0.412193477036075,2.3488299962414,93,0.87831993899923,5.12738322039988,-0.095951773031018,4.08871395514238,1.71134298352914,4.29436017586996,0.724446219270453,3.26831596284091
"BG",12,2.32146492315779,1.28824858381376,1.82604544541502,1.23725792385519,0.652678739097328,2.77034789111319,92,0.202296002784151,4.44063384353143,-0.209243839326773,3.86133473015681,1.03321633934403,3.60971350697155,0.588787521559825,3.06330336927021
"EL",0,0.839857711921676,0.365345880010938,0.212327646592586,0.53936880048334,0.272582169295317,18087481026524394918763575640064,112,0.238863739303683,1.44085168453967,-0.674934030202508,1.09958932338768,0.474511831910738,1.20520359193261,-0.327041153890754,0.751696447075926
"EL",1,2.16914833594915,0.767550381705044,0.845841218930806,1.16522510279437,0.299414528348609,15.1463523741947,111,0.906527958044355,3.43176871385395,-1.07095407516594,2.76263651302755,1.40159795424411,2.93669871765419,-0.319383883863566,2.01106632172518
"EL",2,3.20167661101805,0.992150465495627,2.39311550501622,0.93508483137529,0.532794804706287,6.70385120825661,110,1.56958909527774,4.83376412675835,0.854900957403864,3.93133005262857,2.20952614552242,4.19382707651367,1.45803067364093,3.32820033639151
"EL",3,2.66651604869871,0.748398161679047,4.50818009119617,1.24679238025702,0.142422281481764,12.9337182891609,109,1.43540107273668,3.89763102466074,2.45720662567338,6.55915355671896,1.91811788701966,3.41491421037776,3.26138771093915,5.75497247145319
