"group","horizon","mult_slack","mult_exp","diff","pval_diff"
"Rob: u > P25",4,1.957,2.725,-0.768,0.305
"Rob: u > P25",8,1.236,1.11,0.126,0.876
"Rob: u > P25",12,1.209,1.75,-0.541,0.319
"Rob: u > P50",4,2.174,2.183,-0.009,0.986
"Rob: u > P50",8,1.628,0.9,0.728,0
"Rob: u > P50",12,1.974,0.924,1.051,0
"Rob: u > P75",4,1.259,2.248,-0.989,0.057
"Rob: u > P75",8,0.71,1.385,-0.675,0.169
"Rob: u > P75",12,1.658,1.235,0.423,0.423
