"period","n_points","data_range","nrd0","SJ","UCV","nrd0_pct_of_range","SJ_pct_of_range","ucv_pct_of_range","ucv_vs_nrd0_ratio","sj_vs_nrd0_ratio"
"daily",4057,6031,297.834097055705,166.180947799952,"NA",4.93838662005812,2.75544599237195,"NA","NA",0.557964818141258
"weekly",862,6027,405.889274748745,295.502389182014,"NA",6.73451592415373,4.9029764257842,"NA","NA",0.728036948906662
"monthly",199,6016,547.27934735267,508.026234711358,562.383924969951,9.09706361955901,8.44458501847337,9.34813705069733,1.02759939268738,0.92827591095628
"yearly",17,5833,941.362452818314,1271.17095584756,"NA",16.1385642519855,21.7927474000953,"NA","NA",1.3503523027096
