anonINDX,GENDER,eINDX,HSCH,MJR,atitMATH,passMATH,gradeMATH,firstQIZZ,c_firstQIZZ,1diffQIZZ,c_1diffQIZZ,1averQIZZ,c_1averQIZZ,1averQIZZ_H,2diffQIZZ,c_2diffQIZZ,2averQIZZ,c_2averQIZZ,2averQIZZ_H,1numE,c_1numE,2numE,c_2numE,1honLST,2honLST,1numP,c_1numP,2numP,c_2numP,1numQ,c_1numQ,2numQ,c_2numQ,1averATND,c_1averATND,1averATND_H,2averATND,c_2averATND,2averATND_H,1numHW,c_1numHW,2numHW,c_2numHW,1honHW,2honHW,1paperHW,2paperHW,1lateHW,2lateHW,1hardHW,1hardHW_H,c_1hardHW,2hardHW,2hardHW_H,c_2hardHW,1additHW,1lateADHW,2additHW,2electADHW,1proxi.25,2proxi.25,proxi.25,1proxi.75,2proxi.75,proxi.75,1DISS,c_1DISS,DDIFF,2DISS,c_2DISS,Y1,Y1_33,Y1_66,Y1group,Y1CHEAT,Y2,Y2_33,Y2_66,Y2group,Y2CHEAT
11,0,40,0,1,2,,,0.552083333,0.28895833304,0.2109375003,0.11168125026,0.7630208333,0.43559324182439,1,0.087916667,-0.124023260130435,0.64,0.174657594916667,1,4,1.02222222222222,4,0.911111111111111,1,1,4,1.02173913043478,4,0.955555555555556,4,1.26829268292683,2,0.416666666666667,4,1.39455782316327,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,1,1,1,0,0,0.5555555556,1,0.153381642557391,0.3333333333,0,-0.247126436817241,1,0,1,0,1,0.67,1,0.75,0.67,0.7,2,0.142857142857143,0,2,-0.653061224489796,0.125,1,0,2,1,0.3,1,0,1,0
12,0,41,0,1,1,,,0.078125,-0.18499999996,0.29140625,0.19214999996,0.36953125,0.0421036585243902,1,0.421875,0.209935072869565,0.5,0.0346575949166667,1,4,1.02222222222222,3,-0.088888888888889,1,1,3,0.0217391304347827,3,-0.0444444444444443,3,0.268292682926829,1,-0.583333333333333,3.333333333,0.727891156163266,1,2.333333333,0.0680272106489799,0,0,-1.93877551020408,1,0.408163265306122,1,0,NA,1,NA,1,0.2777777778,0,-0.124396135242609,NA,NA,NA,0,NA,1,1,1,0.5,1,0,0,0.29,2,0.142857142857143,1,3,0.346938775510204,0.25,1,0,2,1,0.2,1,0,1,0
13,1,1,1,4,4,,,0.171875,-0.09124999996,0.27609375,0.17683749996,0.44796875,0.12054115852439,1,-0.021875,-0.233814927130435,0.15,-0.315342405083333,0,4,1.02222222222222,4,0.911111111111111,1,1,4,1.02173913043478,3,-0.0444444444444443,3,0.268292682926829,1,-0.583333333333333,3.666666667,1.06122449016327,1,2.666666667,0.40136054464898,0,3,1.06122448979592,1,0.408163265306122,1,1,1,1,0.3333333333,0,0.2777777778,0,-0.124396135242609,0.5,0,-0.0804597701172414,1,0,1,0,0,0,0.57,0.75,1,0.32,2,0.142857142857143,0,2,-0.653061224489796,0.525,0,0,1,1,0.7,0,1,2,0
14,1,14,0,3,1,,,0.161458333,-0.10166666696,0.05890625025,-0.04034999979,0.2203645833,-0.10706300817561,0,NA,NA,NA,NA,NA,4,1.02222222222222,4,0.911111111111111,1,1,4,1.02173913043478,4,0.955555555555556,2,-0.731707317073171,NA,NA,3.333333333,0.727891156163266,1,2.666666667,0.40136054464898,0,1,-0.938775510204082,1,0.408163265306122,1,0,0.3333333333,0,0,1,0.05555555556,0,-0.346618357482609,NA,NA,NA,0,NA,1,1,0.75,0.33,0.89,0.25,1,0.3,2,0.142857142857143,1,3,0.346938775510204,0.275,1,0,1,1,0.575,0,1,1,0
15,0,36,NA,NA,NA,,,NA,NA,NA,NA,0.49,0.16257240852439,1,NA,NA,0.3,-0.165342405083333,0,3,0.0222222222222221,2,-1.08888888888889,1,1,3,0.0217391304347827,2,-1.04444444444444,3,0.268292682926829,1,-0.583333333333333,3,0.394557823163265,1,1.666666667,-0.59863945535102,1,2,0.0612244897959184,1,0.408163265306122,1,0,0.6666666667,1,0,1,0.6666666667,1,0.264492753657391,0.6666666667,1,0.0862068965827586,1,1,1,0,1,0.5,1,0.33,1,0.43,2,0.142857142857143,1,3,0.346938775510204,0.35,0,0,1,1,0.25,1,0,1,0
16,0,27,1,3,2,,,0.151041667,-0.11208333296,0.1867187498,0.08746249976,0.3377604168,0.0103328253243903,1,0.365624993,0.153685065869565,0.51666666,0.0513242549166668,1,3,0.0222222222222221,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,3,0.268292682926829,2,0.416666666666667,3,0.394557823163265,1,3.333333333,1.06802721064898,0,1,-0.938775510204082,0,-0.591836734693878,1,1,0.3333333333,NA,0.3333333333,NA,0.3333333333,0,-0.0688405797426087,0.8333333333,1,0.252873563182759,1,0,1,0,0.67,0.67,0.86,0.67,0.33,0.67,2,0.142857142857143,0,2,-0.653061224489796,0.4,0,0,1,1,0.35,0,0,2,0
17,1,11,1,3,4,,,0.34375,0.08062500004,0.0221875,-0.07706875004,0.3659375,0.0385099085243903,1,0.51625,0.304310072869565,0.86,0.394657594916667,1,3,0.0222222222222221,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,3,0.268292682926829,2,0.416666666666667,3,0.394557823163265,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,1,1,1,0,0,0.5,1,0.0978260869573913,0.8333333333,1,0.252873563182759,1,0,1,0,0.67,0,0.86,1,1,0.43,2,0.142857142857143,0,2,-0.653061224489796,0.525,0,0,1,1,0.7,0,1,2,0
18,0,43,NA,NA,NA,,,NA,NA,NA,NA,0.205,-0.12242759147561,0,NA,NA,0.34,-0.125342405083333,0,2,-0.977777777777778,2,-1.08888888888889,1,1,2,-0.978260869565217,2,-1.04444444444444,2,-0.731707317073171,1,-0.583333333333333,2,-0.605442176836735,0,1.666666667,-0.59863945535102,1,0,-1.93877551020408,0,-0.591836734693878,NA,0,NA,NA,NA,NA,0.3888888889,0,-0.0132850241426087,NA,NA,NA,0,NA,0,NA,1,0,0.43,0.5,1,0.21,2,0.142857142857143,1,3,0.346938775510204,0.325,1,0,1,1,0,1,0,0,0
19,1,10,2,3,4,,,0.208333333,-0.05479166696,0.09875000025,-0.00050624979000001,0.3070833333,-0.0203442581756098,0,0.691666667,0.479726739869565,0.9,0.434657594916667,1,3,0.0222222222222221,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,3,0.268292682926829,2,0.416666666666667,3,0.394557823163265,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,1,1,1,0,0,0.4444444444,1,0.0422705313573913,0.5,0,-0.0804597701172414,1,0,1,0,0.33,0,0.71,0.67,1,0.29,2,0.142857142857143,0,2,-0.653061224489796,0.4,0,0,1,1,0.65,0,1,1,0
20,1,8,2,3,3,,,0.130208333,-0.13291666696,0.1123437503,0.01308750026,0.2425520833,-0.0848755081756097,0,0.369791667,0.157851739869565,0.5,0.0346575949166667,1,3,0.0222222222222221,4,0.911111111111111,1,1,3,0.0217391304347827,4,0.955555555555556,3,0.268292682926829,2,0.416666666666667,3,0.394557823163265,1,3.333333333,1.06802721064898,0,3,1.06122448979592,1,0.408163265306122,1,1,0.6666666667,1,0,0,0.5,1,0.0978260869573913,0.5,0,-0.0804597701172414,1,0,1,0,0.33,0,0.71,1,0,0.43,2,0.142857142857143,0,2,-0.653061224489796,0.45,0,0,1,1,0.45,0,0,2,0
