"period","n_points","data_range","nrd0","SJ","UCV","ucv_vs_nrd0_ratio","ucv_pct_of_range","sj_vs_nrd0_ratio"
"daily",4057,6031,297.834097055705,166.180947799952,297.834097055705,1,4.93838662005812,0.557964818141258
"weekly",862,6027,405.889274748745,295.502389182014,405.889274748745,1,6.73451592415372,0.728036948906662
"monthly",199,6016,547.27934735267,508.026234711358,562.383924969951,1.02759939268738,9.34813705069733,0.92827591095628
"yearly",17,5833,941.362452818314,1271.17095584756,941.362452818314,1,16.1385642519855,1.3503523027096
