"group","horizon","beta_slack","se_slack","beta_exp","se_exp","pval_diff","fs_f_stat","n","ci90_lo_slack","ci90_hi_slack","ci90_lo_exp","ci90_hi_exp","ci68_lo_slack","ci68_hi_slack","ci68_lo_exp","ci68_hi_exp"
"All Countries",0,0.311368690499318,0.275756715771908,0.257635618346052,0.259130500209452,0.868720686719629,2040532826082123584049940887764992,1087,-0.14225110694547,0.764988487944106,-0.168634054498496,0.6839052911906,0.0356119747274105,0.587125406271226,-0.00149488186340008,0.516766118555503
"All Countries",1,0.772524004402605,0.755821511043145,0.530591047693327,0.713795777006171,0.838286508655145,33.7068303204345,1075,-0.470802381263368,2.01585039006858,-0.643603005481824,1.70478510086848,0.0167024933594605,1.52834551544575,-0.183204729312844,1.2443868246995
"All Countries",2,0.977173024691911,0.639672721183356,0.730139026453917,0.354909359866464,0.630649684567774,31.0057174772782,1063,-0.0750886016547107,2.02943465103853,0.146313129473584,1.31396492343425,0.337500303508554,1.61684574587527,0.375229666587453,1.08504838632038
"All Countries",3,1.3606248878031,0.834744919990868,0.90314879556975,0.756906616066088,0.245000789670967,33.4523355786029,1051,-0.0125305055818778,2.73378028118808,-0.341962587858965,2.14826017899846,0.525879967812232,2.19536980779397,0.146242179503662,1.66005541163584
"All Countries",4,1.61584433033635,0.656154216613016,2.37648893705626,0.800883482746875,0.37700224836356,25.4070171088322,1039,0.536470644007943,2.69521801666477,1.05903560793765,3.69394226617487,0.959690113723338,2.27199854694937,1.57560545430939,3.17737241980314
"All Countries",5,0.81417624421186,0.843444046839316,0.817514425648647,0.508372539586213,0.995637770950613,36.6305577945852,1027,-0.573289212838814,2.20164170126254,-0.0187584019706734,1.65378725326797,-0.0292678026274554,1.65762029105118,0.309141886062434,1.32588696523486
"All Countries",6,1.08179768332771,1.06067034103311,0.876386659788143,0.801586024956488,0.758163732264179,25.1539476252461,1015,-0.663005027671748,2.82660039432717,-0.442222351265279,2.19499567084157,0.021127342294605,2.14246802436082,0.0748006348316552,1.67797268474463
"All Countries",7,0.878981257874016,0.771339733068469,1.11441921497713,0.616336802787503,0.668830262525097,45.7092704783075,1003,-0.389872603023616,2.14783511877165,0.10054517439169,2.12829325556258,0.107641524805547,1.65032099094248,0.49808241218963,1.73075601776464
"All Countries",8,1.42221972820997,1.11000955160589,1.01716174298319,0.880980033493484,0.464922706720201,27.7619149831984,991,-0.403745984181711,3.24818544060165,-0.432050412113596,2.46637389807997,0.312210176604085,2.53222927981585,0.136181709489701,1.89814177647667
"All Countries",9,1.16305950084204,1.52453881409993,0.943328427973128,1.03419541933718,0.751867500312782,23.654641958628,979,-1.34480684835235,3.67092585003643,-0.757923036836541,2.6445798927828,-0.361479313257891,2.68759831494198,-0.090866991364057,1.97752384731031
"All Countries",10,0.771531450237544,1.23510238078024,0.743205829779555,1.02309445420851,0.965854065424706,32.6108568278358,967,-1.26021196614595,2.80327486662103,-0.939784547393451,2.42619620695256,-0.463570930542693,2.00663383101778,-0.279888624428959,1.76630028398807
"All Countries",11,1.11615221930595,1.28224769827407,0.992873657788463,1.16130299101709,0.853725889658793,30.0592575839073,955,-0.993145244354888,3.22544968296679,-0.917469762434656,2.90321707801158,-0.166095478968116,2.39839991758002,-0.16842933322863,2.15417664880556
"All Countries",12,1.16883051763576,0.979900385191546,1.28438545940703,0.873823872012844,0.788908711801149,32.372777503367,943,-0.443105616004328,2.78076665127586,-0.153054810054097,2.72182572886816,0.188930132444219,2.14873090282731,0.410561587394187,2.15820933141988
