"group","horizon","beta_slack","se_slack","beta_exp","se_exp","pval_diff","fs_f_stat","n","ci90_lo_slack","ci90_hi_slack","ci90_lo_exp","ci90_hi_exp","ci68_lo_slack","ci68_hi_slack","ci68_lo_exp","ci68_hi_exp"
"Advanced Economies",0,3.13351540135705,1.86225988143708,3.56933899531219,0.91250740560976,0.767904961078073,870359047957387333603481467486208,381,0.0700978963930643,6.19693290632104,2.06826431308413,5.07041367754024,1.27125551991998,4.99577528279413,2.65683158970243,4.48184640092195
"Advanced Economies",1,3.54854034270853,1.7749708294237,3.09295017845809,1.66014488347196,0.750449961991063,151.997414693138,377,0.628713328306537,6.46836735711051,0.36201184514672,5.82388851176945,1.77356951328482,5.32351117213223,1.43280529498613,4.75309506193004
"Advanced Economies",2,3.60883409657776,1.76706104683205,2.42362684573157,2.2469497009013,0.429232839564812,99.1624433624398,373,0.702018674539034,6.51564951861649,-1.27260541225107,6.11985910371422,1.84177304974571,5.37589514340981,0.176677144830268,4.67057654663288
"Advanced Economies",3,3.22546873758495,1.69842680135609,1.9657587275273,2.43579887759063,0.386194716645017,78.9057978715893,369,0.431556649354177,6.01938082581573,-2.04113042610929,5.97264788116388,1.52704193622886,4.92389553894105,-0.470040150063333,4.40155760511792
"Advanced Economies",4,3.33015923016933,1.68703825587801,1.85245066209222,2.21759570280674,0.246638877218164,37.7370991969716,365,0.55498129925001,6.10533716108865,-1.79549426902487,5.50039559320931,1.64312097429132,5.01719748604734,-0.365145040714519,4.07004636489896
"Advanced Economies",5,3.10003626586451,1.65416117291269,1.39235687354783,2.15331868176926,0.142944538742648,39.2626478735729,361,0.378941136423137,5.82113139530588,-2.1498523579626,4.93456610505825,1.44587509295182,4.7541974387772,-0.760961808221429,3.54567555531708
"Advanced Economies",6,2.73421017496683,1.53366030918238,0.87368963231117,2.27678602725563,0.089055626579944,61.7967405311855,357,0.211338966361826,5.25708138357184,-2.87162338252433,4.61900264714667,1.20054986578446,4.26787048414921,-1.40309639494446,3.1504756595668
"Advanced Economies",7,2.44866988729096,1.71833928958295,0.775452753845591,2.71286671545798,0.157375810122735,54.3408932478137,353,-0.377998244072998,5.27533801865492,-3.68721299308278,5.23811850077396,0.730330597708007,4.16700917687391,-1.93741396161239,3.48831946930357
"Advanced Economies",8,2.15689705567589,1.74381435387598,0.613098864036915,2.74586520761272,0.199113479628073,38.3273944091154,349,-0.711677556450099,5.02547166780188,-3.90384940248601,5.13004713055984,0.41308270179991,3.90071140955188,-2.13276634357581,3.35896407164964
"Advanced Economies",9,1.92163142378053,1.79163060910322,0.566630174585232,2.70777277235528,0.209222763280836,43.7172790321097,345,-1.02560092819427,4.86886377575533,-3.88765603593921,5.02091638510967,0.130000814677305,3.71326203288375,-2.14114259777005,3.27440294694051
"Advanced Economies",10,1.66754474696835,1.77703758502315,0.488033039445789,2.69526469216517,0.252633257364329,40.3144270664233,341,-1.25568208039474,4.59077157433143,-3.94567737916592,4.9217434580575,-0.109492838054805,3.4445823319915,-2.20723165271938,3.18329773161096
"Advanced Economies",11,1.39684385427702,1.88312751527134,0.568262203235172,2.69310460136033,0.34416946802734,36.1415826869273,337,-1.70090090834434,4.49458861689837,-3.86189486600258,4.99841927247292,-0.486283660994324,3.27997136954835,-2.12484239812516,3.26136680459551
"Advanced Economies",12,0.60289129610611,1.91908817140019,0.433949270391503,2.64693746558528,0.863243220955687,29.5451604809126,333,-2.55400874584721,3.75979133805943,-3.92026286049628,4.78816140127929,-1.31619687529408,2.5219794675063,-2.21298819519378,3.08088673597678
