"group","horizon","beta_slack","se_slack","beta_exp","se_exp","pval_diff","fs_f_stat","n","ci90_lo_slack","ci90_hi_slack","ci90_lo_exp","ci90_hi_exp","ci68_lo_slack","ci68_hi_slack","ci68_lo_exp","ci68_hi_exp"
"Balkan",0,0.25877689400859,0.261552609765546,0.0373905780846389,0.107431718930617,0.525495726742188,19945535735336028234631001740935168,706,-0.171477149055733,0.689030937072912,-0.139334599556226,0.214115755725504,-0.00277571575695612,0.520329503774135,-0.070041140845978,0.144822297015256
"Balkan",1,0.677056421969445,0.781868624568815,0.242417345607303,0.806408139217553,0.748425636284622,27.6313176985665,698,-0.609117465446255,1.96323030938514,-1.08412404340557,1.56895873462018,-0.10481220259937,1.45892504653826,-0.56399079361025,1.04882548482486
"Balkan",2,0.917218936700766,0.669087269982423,0.64131802241788,0.311862544597803,0.613879373302486,25.5557689697397,690,-0.18342962242032,2.01786749582185,0.128304136554495,1.15433190828127,0.248131666718343,1.58630620668319,0.329455477820078,0.953180567015683
"Balkan",3,1.31745151722524,0.922315237739867,0.831973280471695,0.788272737949221,0.213883846283889,27.7735231328019,682,-0.199757048856847,2.83466008330732,-0.464735373454773,2.12868193439816,0.395136279485368,2.2397667549651,0.0437005425224746,1.62024601842092
"Balkan",4,1.57345205190591,0.688665962434826,2.47237872994231,0.851539777006584,0.305718561696173,21.3455886370518,674,0.440596543700623,2.7063075601112,1.07159579676648,3.87316166311814,0.884786089471086,2.26211801434074,1.62083895293573,3.3239185069489
"Balkan",5,0.725370116806725,0.867674359177172,0.755187299275555,0.499352033105318,0.960814170159276,31.200747725086,666,-0.701954204039723,2.15269443765317,-0.0662467951826943,1.5766213937338,-0.142304242370447,1.5930444759839,0.255835266170236,1.25453933238087
"Balkan",6,1.00898073174722,1.12734418578807,0.864024638865158,0.840770381118002,0.821209355591398,19.4438856909065,658,-0.845500453874146,2.86346191736859,-0.519042638073956,2.24709191580427,-0.118363454040844,2.13632491753529,0.0232542577471555,1.70479501998316
"Balkan",7,0.826518975913654,0.786428364896946,1.12478502773735,0.618053948115588,0.555235751896547,37.5797588986269,650,-0.467155684341822,2.12019363616913,0.10808628308721,2.14148377238749,0.0400906110167083,1.6129473408106,0.506731079621764,1.74283897585294
"Balkan",8,1.40549520820932,1.19970940753305,1.02599078572716,0.938031976099911,0.472272990144344,22.7827669251497,642,-0.568026767182549,3.37901718360118,-0.517071814957192,2.56905338641152,0.205785800676268,2.60520461574237,0.0879588096272508,1.96402276182707
"Balkan",9,1.11701792258941,1.68655665110454,0.935423225761257,1.12685412226645,0.798991159137195,18.6106486400287,634,-1.65736776847756,3.89140361365638,-0.91825180536705,2.78909825688956,-0.569538728515133,2.80357457369395,-0.191430896505191,2.0622773480277
"Balkan",10,0.711978303034037,1.30187654566872,0.697738917783537,1.07584292915431,0.982503605221339,26.3489043910097,626,-1.429608614591,2.85356522065908,-1.0720227006753,2.46750053624237,-0.58989824263468,2.01385484870275,-0.378104011370771,1.77358184693785
"Balkan",11,1.10386630707841,1.37849036933198,0.977219659695685,1.24380386356608,0.845940821429104,24.5710540299985,618,-1.1637503504727,3.37148296462951,-1.06883769587052,3.02327701526189,-0.274624062253572,2.48235667641038,-0.266584203870395,2.22102352326177
"Balkan",12,1.18984082003641,1.04077661031682,1.29587324445695,0.905648202399754,0.794134981154571,27.476278266467,610,-0.522236703934762,2.90191834400758,-0.193918048490645,2.78566453740455,0.149064209719589,2.23061743035323,0.390225042057196,2.2015214468567
